,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
31,31,DAL,Dan Langhi,langhda01,Vanderbilt,4,133,1253,393,199,39,0.391,0.289,0.613,9.4,3,1.5,0.3,0.3,0.012,-4.6,-0.8
32,32,CHI,A.J. Guyton,guytoaj01,Indiana,3,80,1246,442,80,147,0.377,0.378,0.822,15.6,5.5,1,1.8,0.3,0.01,-2.9,-0.3
33,33,CHI,Jake Voskuhl,voskuja01,UConn,9,450,6443,1814,1539,237,0.487,0.333,0.714,14.3,4,3.4,0.5,11.6,0.087,-3.8,-3
34,34,CHI,Khalid El-Amin,elamikh01,UConn,1,50,936,314,81,145,0.37,0.333,0.778,18.7,6.3,1.6,2.9,0.6,0.03,-2.4,-0.1
35,35,WAS,Mike Smith,smithmi03,University of Louisiana at Monroe,1,17,180,51,22,10,0.322,0.167,0.625,10.6,3,1.3,0.6,-0.1,-0.033,-4.2,-0.1
36,36,NJN,Soumaila Samake,samakso01,,2,47,303,68,76,5,0.389,,0.462,6.4,1.4,1.6,0.1,0.3,0.046,-3.7,-0.1
37,37,MIA,Eddie House,houseed01,Arizona State,11,717,12405,5356,1223,1112,0.409,0.39,0.851,17.3,7.5,1.7,1.6,20,0.077,0,6.1
38,38,HOU,Eduardo Nájera,najered01,Oklahoma,12,619,11213,3052,2307,493,0.481,0.311,0.671,18.1,4.9,3.7,0.8,24.7,0.106,-0.9,3
39,39,NYK,Lavor Postell,postela01,St. John's,3,61,446,195,45,13,0.335,0.25,0.795,7.3,3.2,0.7,0.2,-0.2,-0.025,-5,-0.3
40,40,ATL,Hanno Möttölä,mottoha01,Utah,2,155,2360,715,442,75,0.442,0.063,0.783,15.2,4.6,2.9,0.5,0.9,0.019,-5.9,-2.3
41,41,SAS,Chris Carrawell,,Duke,,,,,,,,,,,,,,,,,
42,42,SEA,Olumide Oyedeji,oyedeol01,,3,93,587,127,196,11,0.495,,0.659,6.3,1.4,2.1,0.1,1.2,0.095,-4.3,-0.3
43,43,MIL,Michael Redd,reddmi01,Ohio State,12,629,20104,11972,2411,1338,0.447,0.38,0.838,32,19,3.8,2.1,55.9,0.134,2.2,21.4
44,44,DET,Brian Cardinal,cardibr01,Purdue,12,456,6477,2108,1050,465,0.408,0.372,0.861,14.2,4.6,2.3,1,15.4,0.114,-0.1,3.2
45,45,SAC,Jabari Smith,smithja01,LSU,4,108,1063,329,178,66,0.413,0.125,0.69,9.8,3,1.6,0.6,1.3,0.058,-4.3,-0.6
46,46,TOR,DeeAndre Hulett,,College of the Sequoias,,,,,,,,,,,,,,,,,
47,47,SEA,Josip Sesar,,,,,,,,,,,,,,,,,,,
48,48,PHI,Mark Karcher,,Temple,,,,,,,,,,,,,,,,,
49,49,MIL,Jason Hart,hartja01,Syracuse,9,341,5289,1623,567,774,0.417,0.315,0.788,15.5,4.8,1.7,2.3,8.6,0.078,-1.2,1
50,50,UTA,Kaniel Dickens,dickeka01,Idaho,3,19,85,22,12,2,0.4,0.333,0.75,4.5,1.2,0.6,0.1,0.1,0.055,-3,0
51,51,MIN,Igor Rako?evi?,rakocig01,,1,42,244,78,17,33,0.379,0.417,0.806,5.8,1.9,0.4,0.8,0.1,0.022,-4.9,-0.2
52,52,MIA,Ernest Brown,browner01,Indian Hills Community College,1,3,21,3,6,0,0.167,,0.25,7,1,2,0,-0.2,-0.349,-18.2,-0.1
53,53,DEN,Dan McClintock,mcclida01,Northern Arizona University,1,6,58,18,17,1,0.5,,0,9.7,3,2.8,0.2,0,0.007,-7.9,-0.1
54,54,SAS,Cory Hightower,,Indian Hills Community College,,,,,,,,,,,,,,,,,
55,55,GSW,Chris Porter,portech01,Auburn,1,51,1147,440,189,61,0.389,0,0.667,22.5,8.6,3.7,1.2,0.2,0.008,-4.5,-0.7
56,56,IND,Jaquay Walls,,Colorado,,,,,,,,,,,,,,,,,
57,57,ATL,Scoonie Penn,,Ohio State,,,,,,,,,,,,,,,,,
58,58,DAL,Pete Mickeal,,Cincinnati,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
